EventId,EventTemplate,Occurrences
61c07f7d,Found Public API<*>,1
3a100ee9,Public API<*>,1
1ad8b3a2,Root WebApplicationContext: initialization started,1
28410e9c,Refreshing Root WebApplicationContext: startup date [Mon Jun 08 09:35:16 IDT 2020]; root of context hierarchy,1
a27de3e5,Loading XML bean definitions from ServletContext resource [/WEB-INF/core-application.xml],1
41d20283,Loading XML bean definitions from URL <*>,181
9bbfcfe7,Overriding bean definition for bean <*> with a different definition: replacing [Generic bean: class <*> scope=singleton; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL <*> with [Generic bean: class <*> scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL <*>,5
86c2512e,parsing namspace-based config for workflow: <*>,11
f5529e98,You are running with Spring Security Core 4.2.4.RELEASE,1
60bb8f9f,Spring Security 'config' module version is 4.2.4.RELEASE,1
9abb6fb5,Checking sorted filter chain:<*>,1
7bf93218,Using bean 'expressionHandler' as method ExpressionHandler implementation,1
6a614303,Overriding bean definition for bean 'org.springframework.context.annotation.internalAsyncAnnotationProcessor' with a different definition: replacing [Generic bean: class [org.springframework.scheduling.annotation.AsyncAnnotationBeanPostProcessor]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.scheduling.annotation.ProxyAsyncConfiguration; factoryMethodName=asyncAdvisor; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/scheduling/annotation/ProxyAsyncConfiguration.class]],1
cf448938,Loading the preverify context,1
6e888e9d,Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@587f17cb: startup date [Mon Jun 08 09:35:37 IDT 2020]; root of context hierarchy,1
64e9c1ef,initializing EMS states library - enter,2
c0453726,Properties file C:\Program Files\BlackBerry\UEM\common-settings\ems.properties not found; EMS will not be initialized.,2
75a71f82,MLog clients using slf4j logging.,1
b8f80b0b,"Custom c3p0 settings: jdbcurl -> jdbc:sqlserver://boi-jp-sql17.ad.boi.gov.il:1433;databaseName=UEM;integratedSecurity=true;applicationName=BES-CORE-preVerify;, minPoolSize -> 1, maxPoolSize -> 10, initialPoolSize -> 1, numHelperThreads -> 100, maxStatementsPerConnection -> 0, deferredCloseThreads -> 1, idleConnectionTestPeriod -> 3000, loginTimeout -> 10, checkoutTimeout -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 600, preferredTestQuery -> null, testConnectionOnCheckout -> false, acquireIncrement -> 1, connectionCustomizerClassName -> null, unreturnedConnectionTimeout -> 0, debugUnreturnedConnectionStackTraces -> false, applicationName -> BES-CORE-preVerify, dataSourceName -> BES-CORE-preVerify",1
11bb8b4b,DB Environment: Vendor = <*> Version = <*> Driver = <*>,2
dd35362b,CryptoSecureRandom - scheduleReseed at interval:86400000,2
80b968d1,reseeding CryptoSecureRandom,2
bf174b78,Value found enabled for mdm.admin.auditing.enabled.,1
b3f74ecf,Closing org.springframework.context.support.ClassPathXmlApplicationContext@587f17cb: startup date [Mon Jun 08 09:35:37 IDT 2020]; root of context hierarchy,1
f627860a,"MBean: com.mchange.v2.c3p0:type=PooledDataSource,identityToken=2utapkaa14org901wunoml|43d921d3 unregistered.",1
41b9c9c9,Loading properties into the PropertyPlaceHolderConfigurer,4
4eac5fb4,Bean <*> of type <*> is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying),42
61018040,Bean '(inner <*> of type <*> is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying),4
c640a658,"Custom c3p0 settings: jdbcurl -> jdbc:sqlserver://boi-jp-sql17.ad.boi.gov.il:1433;databaseName=UEM;integratedSecurity=true;applicationName=BES-CORE;, minPoolSize -> 100, maxPoolSize -> 300, initialPoolSize -> 100, numHelperThreads -> 100, maxStatementsPerConnection -> 200, deferredCloseThreads -> 1, idleConnectionTestPeriod -> 3000, loginTimeout -> 10, checkoutTimeout -> 11000, maxIdleTime -> 3000, maxIdleTimeExcessConnections -> 1800, preferredTestQuery -> SELECT 1, testConnectionOnCheckout -> true, acquireIncrement -> 3, connectionCustomizerClassName -> com.rim.platform.mdm.dal.utils.ConnectionCustomizer, unreturnedConnectionTimeout -> 0, debugUnreturnedConnectionStackTraces -> false, applicationName -> null, dataSourceName -> BES-CORE",1
65eb3b3e,Building JPA container EntityManagerFactory for persistence unit 'application',1
cade56ba,HHH000204: Processing PersistenceUnitInfo [,1
b19c989a,HHH000412: Hibernate Core <*>,1
253e5470,HHH000206: hibernate.properties not found,1
8d28a3bc,HCANN000001: Hibernate Commons Annotations <*>,1
ab6fc282,HHH000400: Using dialect: com.rim.platform.mdm.dal.utils.SqlServerCustomDialect,1
8e25e0b9,Envers integration enabled? : true,1
b3d05b44,Registering custom Hibernate data types,1
ac35fee7,HHH000270: Type registration [java.util.Date] overrides previous : org.hibernate.type.TimestampType@5cfba05f,1
a7dad40b,HV000001: Hibernate Validator 5.4.3.Final,1
3ef3e437,HHH000397: Using ASTQueryTranslatorFactory,1
33203f5b,Initialized JPA EntityManagerFactory for persistence unit 'application',1
3340d455,Attempting to load the database encryption key...,1
b9906398,Unable to proxy interface-implementing method [public final <*> <*> because it is marked as final: Consider using interface-based JDK proxies instead!,6
abc484d8,Final method [public final <*> <*> cannot get proxied via CGLIB: Calls to this method will NOT be routed to the target instance and might lead to NPEs against uninitialized fields in the proxy instance.,8
e7da547c,CORE Version: 8.46.2,1
fe13cf8f,The CORE service has been registered successfully.,1
71843862,Current path: C:\Program Files\BlackBerry\UEM\Core\tomcat-core\bin\.,1
5a9f2ae7,Service <*> type<*>,6
9238095d,Loading configuration for interface <*>,5
b7003462,Boot completed in 187 ms,1
17450bcd,"Using proxy settings: proxyEnabled=true, proxyConfigs=[<*>]",2
3b40bfb4,"JavaHomePathResolver(): java.home=C:\Program Files\AdoptOpenJDK\jre-<*>, JAVA_HOME=null, file.separator=\",2
91faea6b,initServiceTypesConfigMap() - no group definitions are provided,3
9f2d31fe,ServerGroupAndServiceTypeHelper() - serviceTypes:[MDM],1
40bad080,"TunnelIpEndpoint: host=localhost, <*> <*> <*> keyAccessInfo=null, tlsParameters=null, tlsServerPolicy=null, <*> tenantId=null, <*>",39
829c5b6c,"Constructed the security context: SecurityContextFactory: [Provider=SunJSSE, Algorithm=SunX509, SslContextProtocol=TLS, TlsParams=[TlsParamters=[TlsProtocols=[TLSv1, TLSv1.1, TLSv1.2], TlsCiphers=[TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384, TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256, TLS_DHE_RSA_WITH_AES_256_CBC_SHA256, TLS_DHE_RSA_WITH_AES_128_CBC_SHA256, TLS_DHE_DSS_WITH_AES_256_CBC_SHA256, TLS_DHE_DSS_WITH_AES_128_CBC_SHA256, TLS_RSA_WITH_AES_256_CBC_SHA256, TLS_RSA_WITH_AES_128_CBC_SHA256, TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA384, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256, TLS_ECDH_RSA_WITH_AES_256_CBC_SHA384, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256, TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA, TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_RSA_WITH_AES_256_CBC_SHA, TLS_DHE_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_DSS_WITH_AES_256_CBC_SHA, TLS_DHE_DSS_WITH_AES_128_CBC_SHA, TLS_RSA_WITH_AES_256_CBC_SHA, TLS_RSA_WITH_AES_128_CBC_SHA, TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDH_RSA_WITH_AES_256_CBC_SHA, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA]]]",1
8bde3c83,AuditlogChangeListener postConstruct,1
dd5325b1,AuditlogChangeListener Adding writer to audit writer map: class <*>,62
f17c9da2,"Constructed the security context: SecurityContextFactory: [Provider=SunJSSE, Algorithm=SunX509, SslContextProtocol=TLS, TlsParams=[TlsParamters=[TlsProtocols=[TLSv1, TLSv1.1, TLSv1.2], TlsCiphers=[TLS_DHE_DSS_WITH_AES_128_CBC_SHA, TLS_DHE_DSS_WITH_AES_256_CBC_SHA, TLS_DHE_DSS_WITH_AES_128_CBC_SHA256, TLS_DHE_DSS_WITH_AES_256_CBC_SHA256, TLS_DHE_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_RSA_WITH_AES_256_CBC_SHA, TLS_DHE_RSA_WITH_AES_128_CBC_SHA256, TLS_DHE_RSA_WITH_AES_256_CBC_SHA256, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256, TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA384, TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA, TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256, TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA, TLS_ECDH_RSA_WITH_AES_256_CBC_SHA, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256, TLS_ECDH_RSA_WITH_AES_256_CBC_SHA384, TLS_RSA_WITH_AES_128_CBC_SHA, TLS_RSA_WITH_AES_128_CBC_SHA256, TLS_RSA_WITH_AES_256_CBC_SHA, TLS_RSA_WITH_AES_256_CBC_SHA256]]]",1
3129ad77,ChannelBasedTcpProxyServiceAdapter.init() - successfully bound for <*> after <*> serverChannel:[id: <*> <*>,3
2db1f825,"init(): set up directProxyClientState state for mode=UNIFIED_ALWAYS_DIRECT, localServiceName=direct, <*> enabled=true",2
ac6fe647,KRBSSO: found one tenant for SSO initialization [<*>],1
63611aab,Clearing all AD domain-to-forest caches,1
0ad619a3,"Initializing domain-to-forest maps for tenant [<*>], AD Forest Connection with domain [ad.boi.gov.il].",1
242981e9,VSJ discovered <*> domain controller [boi-jp-dc1.ad.boi.gov.il],2
9fc51a80,"Unable to connect to GC, [adsrv01.ad.boi.gov.il]. Will discover another GC.",1
a5c8a294,setting java.security.auth.login.config system property to the path C:\Program Files\BlackBerry\UEM\Core\tomcat-core\temp\besng7816003674306852918auth.conf,1
13128b08,"Attempting Kerberos authentication for <*> realm:AD.BOI.GOV.IL, KDC:BOI-JP-DC1.AD.BOI.GOV.IL",304
a494d572,initializeForestDomainCacheForAllTenants: successfully initialzed the cache,1
d513c4b2,starting <*>,57
7f71fdff,Scheduler core version for this UoS is 8046002,1
d7188900,[DEPDeviceAsyncService] starting...,1
e376befe,Got countries provider: <*>,2
bca11cb2,Got provider: <*>,4
b1e167d7,PostUpgradeStartupInitializer::<*>,1
15498d4d,"createSSLSocketFactory(): Creating BcpTlsClientSocketFactory, tenantId=null, <*> correlationId=<*>",19
b0cc27af,"createPlainSocketFactory(): Creating BcpPlainClientSocketFactory, tenantId=null, <*> correlationId=<*>",19
64e24d7c,ExecutionService added a listener,14
5416a54c,[GcAppsPeriodicSync] starting...,1
763ab863,"[GcAppsPeriodicSync] skipped, the handler is already registered for Good apps periodic sync",1
6441bf69,Processing defaults as on prem deployment as feature.good.cmp.hosted is not enabled,1
8e193b4c,Final method <*> final <*> <*> throws <*> cannot get proxied via CGLIB: Calls to this method will NOT be routed to the target instance and might lead to NPEs against uninitialized fields in the proxy instance.,4
90a1588b,<*> initialized,2
84368357,"Type converters loaded (core: 194, classpath: 12)",1
c211acdc,Apache Camel 2.21.1 (CamelContext: epsCamel) is starting,1
913a38dc,JMX is enabled,1
0d11f6a9,StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at <*>,1
f4e4dd93,Endpoint seda://events?concurrentConsumers=2&multipleConsumers=true is using shared queue: seda://events with size: 2147483647,2
a6b86822,Found single ObjectMapper in Registry to use: com.fasterxml.jackson.databind.ObjectMapper@378e6027,5
5133284d,Skipping starting of route <*> as its configured with autoStartup=false,10
af6812af,Route: <*> started and consuming from: <*>,4
4316432d,"Total 7 routes, of which 2 are started",1
9d19bf68,Apache Camel 2.21.1 (CamelContext: epsCamel) started in 1.610 seconds,1
a2d67011,RECONCILIATION BATCH:<*>,216
7edc3df7,"ReconciliationSingleReadyEndpointActionNotifyActivity RECONCILIATION: [ notificationTTL = 86400, notificationRetryCount = 0]",2
f7dbd0a5,In init for WorkflowFramework,4
267f0bfe,Added bean <*> to the map from the init,72
0a902b2f,Starting <*>,7
9c023137,[UnseenAppsPeriodicNotificationScheduler] Starting...UnseenAppsPeriodicNotificationScheduler,1
33960dce,<*> initialization is successful,7
88d5a122,E2CHttpClientFactory: Initialized CA certs with 2 certificates,1
daa80b83,Initializing Bb2faMdsPushClient,1
1354946d,BB2FA for BlackBerry<*>,3
032812fa,Certificate Validator <*> <*>,3
55e047e0,"ECC Cert Chain evaluator initialized, trusted certs size 2",1
08a8bb94,RSA Cert Chain evaluator not initialized,1
3f8e8d16,Bb2faControllerBDMI deviceValidatorHandler initialization is successful,2
e09efd42,<*> initialization for <*> Channel,2
38a4800d,Initializing ExecutorService <*>,4
9266daea,ClusterUpgradeMonitor: Starting <*>,2
e44d99ce,ClusterUpgradeMonitor: Cluster upgrade monitor <*> is <*> <*> no need to schedule monitor.,2
c94dca14,uoSServerMonitor is disabled - skipping creation of the scheduler bean,1
05cc321f,Schedule Delete devices with expired unmanage/wipe commands,1
ed89761c,enable(): <*>,2
d6897152,VALVE - <*> Trickle Job thread,2
219e6dad,"VALVE - Old config values - [maxBufferSize: 0, maxCountAtFullSpeed: 0, trickleBufferSize: 0, delayInSeconds: 0]",1
68908a80,"New max permit size: 24, available permits: 24",1
e6f7fe94,"VALVE - New config values - [maxBufferSize: 16384, maxCountAtFullSpeed: 24, trickleBufferSize: 128, delayInSeconds: 2, changedFlag: true]",1
d91e19b0,Starting Syscon monitor.,1
6bb11061,Loading dnaBinary module: <*> version: <*>,5
1338ccc1,Validating and loading DNA Master Schema.,1
071adb94,Schema updated to date Wed Jan 29 15:28:38 IST 2020,1
c90475e0,skipping platform policy <*>,51
9a78d0c4,There are no permissions defined for policy category:com.blackberry.snapin.sis.common.entity.SISPolicyProfile,1
e6435443,Server name is Boi-JP-BBUEM1.ad.boi.gov.il,1
79cc8dd4,-|- [<*>] - INFO Exchange[<*>,54
12ebe0d6,Adding authorization provider port mapping for client-cert -> %tomcat.ipc.<*>,1
400b5171,"Adding port, auth provider: client-cert, port: %tomcat.ipc.<*>",1
8b3c5845,Configured EventingServiceHelper for security auditing.,1
e5c77352,checking if there is already an scheduler event for periodicDeviceEventReportingService,1
7d123ca0,existing scheduler event found for periodicDeviceEventReportingService. Skipping scheduling...,1
d88ad069,"deviceActionEndpointEnrollmentStateFeatureAutoEnablementService feature: feature.device.action.endpoint.enrollment.state has been enabled, no further process required",1
8aa79bb1,"appleMdmDeviceInfoExtFeatureAutoEnablementService feature: feature.ios.device.info.ext has been enabled, no further process required",1
